Name,Rating,Rating Count,Price,Category,Platform
Vanguard,4.5,168026,0.0,Finance,iOS
Highway Rider,4.5,167715,0.0,Games,iOS
Dumb Ways to Die,4.5,167690,0.0,Games,iOS
Driving Academy 2020 Simulator,4.5,167554,0.0,Games,iOS
Papa John's Pizza,4.5,166326,0.0,Food & Drink,iOS
RAID: Shadow Legends,5.0,166176,0.0,Games,iOS
Clear Vision 3,4.5,166036,0.0,Games,iOS
Castle Wreck,4.5,165783,0.0,Games,iOS
Salesforce,4.5,165361,0.0,Business,iOS
Scatter Slots - Vegas Casino,4.5,165177,0.0,Games,iOS
SUBWAY®,4.5,165148,0.0,Food & Drink,iOS
Flip & Dive 3D,4.5,165117,0.0,Games,iOS
Slots Journey,4.5,164839,0.0,Games,iOS
aa,4.5,164731,0.0,Games,iOS
Shadow Fight 2,4.5,164537,0.0,Games,iOS
Bible.is - Audio Bibles,5.0,164049,0.0,Reference,iOS
Smash Hit,4.5,163736,0.0,Games,iOS
CBS - Full Episodes & Live TV,4.0,163033,0.0,Entertainment,iOS
2048,4.5,163004,0.0,Games,iOS
Coin Master,4.5,162534,0.0,Games,iOS
Amazing X-Ray FX ² LITE,2.0,160696,0.0,Sports,iOS
StyleSeat - Salon Appointments,5.0,160621,0.0,Lifestyle,iOS
Clean Road,4.5,160271,0.0,Games,iOS
Trivia Crack 2,4.5,160168,0.0,Games,iOS
Hunter Assassin,4.5,159734,0.0,Games,iOS
Tropical Rewards App,5.0,159716,0.0,Food & Drink,iOS
Guess the Movie: Icon Pop Quiz,5.0,159633,0.0,Games,iOS
my KONAMI - Real Vegas Slots,4.5,158757,0.0,Games,iOS
Credit Sesame,4.5,158690,0.0,Finance,iOS
TopBuzz Video - Trending Stuff,4.5,157733,0.0,Entertainment,iOS
Learn Languages with Memrise,5.0,157700,0.0,Education,iOS
Solitaire by MobilityWare,4.5,157133,4.99,Games,iOS
My Mixtapez Music,4.5,156843,0.0,Music,iOS
Zombieville USA Lite,4.0,156082,0.0,Games,iOS
Summoners War,4.5,155380,0.0,Games,iOS
Idle Roller Coaster,5.0,155350,0.0,Games,iOS
Solitaire (Classic Card Game),5.0,154746,0.0,Games,iOS
Photo Editor-,4.5,154582,0.0,Photo & Video,iOS
Viki: Asian TV Dramas & Movies,4.5,154324,0.0,Entertainment,iOS
Intune Company Portal,4.5,154162,0.0,Business,iOS
